t,metric,dsdt,adaptive_threshold,spike_candidate,persistence,deviation,slope,recovery_lag,gv_signal,warning
16,1.02,0.020000000000000018,0.06552580000000005,0,0.125,0.016470588235294237,0.0004848484848484765,0.0,0.05108021390374325,0
17,1.01,-0.010000000000000009,0.060525800000000046,0,0.125,0.006111111111111178,0.00030303030303034445,0.0,0.04003787878787958,0
18,1.0,-0.010000000000000009,0.05552580000000004,0,0.0625,0.0036842105263157343,0.0001212121212120867,0.0,0.01994497607655436,0
19,0.99,-0.010000000000000009,0.04237150000000003,0,0.0,0.0129999999999999,-0.0011515151515151323,0.0,0.009749999999999925,0
20,1.01,0.020000000000000018,0.05552580000000004,0,0.0,0.006666666666666599,0.00012121212121219012,0.0,0.007181818181819371,0
21,1.0,-0.010000000000000009,0.04737150000000003,0,0.0,0.0031818181818181746,0.0003030303030303408,0.0,0.007840909090909766,0
22,1.02,0.020000000000000018,0.05552580000000004,0,0.0,0.016086956521739193,0.0003636363636363959,0.0,0.01861067193675952,0
23,1.03,0.010000000000000009,0.04737150000000003,0,0.0,0.02499999999999991,0.0012727272727272399,0.0,0.04165909090909025,0
24,1.01,-0.020000000000000018,0.04737150000000003,0,0.0,0.0048000000000001375,0.0013939393939393864,0.0,0.028690909090909055,0
25,1.02,0.010000000000000009,0.03921720000000003,0,0.0,0.014230769230769269,0.0013939393939394016,0.0,0.03576398601398618,0
26,1.0,-0.020000000000000018,0.03921720000000003,0,0.0,0.005555555555555536,0.0013939393939394259,0.0,0.02925757575757632,0
27,1.01,0.010000000000000009,0.03921720000000003,0,0.0,0.004285714285714226,0.001515151515151523,0.0,0.030487012987013083,0
28,1.0,-0.010000000000000009,0.02921720000000002,0,0.0,0.0055172413793103114,0.0004242424242424718,0.0,0.011774294670847226,0
29,1.02,0.020000000000000018,0.03921720000000003,0,0.0,0.014000000000000012,-0.00024242424242426595,0.0,0.01050000000000001,0
30,1.01,-0.010000000000000009,0.02921720000000002,0,0.0,0.0040000000000000036,-0.0004848484848485039,0.0,0.0030000000000000022,0
31,1.0,-0.010000000000000009,0.02921720000000002,0,0.0,0.006333333333333302,-0.0019393939393939472,0.0,0.0047499999999999765,0
32,1.01,0.010000000000000009,0.03921720000000003,0,0.0,0.0033333333333334103,-0.0015151515151514904,0.0,0.0025000000000000577,0
33,1.02,0.010000000000000009,0.03921720000000003,0,0.0,0.01333333333333342,0.00024242424242420813,0.0,0.014363636363635812,0
34,1.01,-0.010000000000000009,0.02921720000000002,0,0.0,0.0023333333333332984,0.00024242424242426847,0.0,0.006113636363636806,0
35,1.02,0.010000000000000009,0.03921720000000003,0,0.0,0.01200000000000001,0.0014545454545455002,0.0,0.03518181818181901,0
36,1.0,-0.020000000000000018,0.02921720000000002,0,0.0,0.008333333333333304,0.0002424242424242476,0.0,0.010613636363636434,0
37,1.01,0.010000000000000009,0.03921720000000003,0,0.0,0.0013333333333331865,0.0002424242424242816,0.0,0.005363636363636958,0
38,1.0,-0.010000000000000009,0.03921720000000003,0,0.0,0.008333333333333304,-0.0009696969696969236,0.0,0.006249999999999978,0
39,1.02,0.020000000000000018,0.04921720000000004,0,0.0,0.01100000000000012,0.0002424242424242476,0.0,0.012613636363636547,0
40,1.01,-0.010000000000000009,0.03921720000000003,0,0.0,0.0013333333333334085,0.0002424242424242476,0.0,0.005363636363636513,0
41,1.03,0.020000000000000018,0.04921720000000004,0,0.0,0.02066666666666661,0.0006666666666667001,0.0,0.02750000000000056,0
42,1.05,0.020000000000000018,0.04921720000000004,0,0.0,0.03866666666666663,0.002484848484848497,0.0,0.07372727272727292,0
43,1.07,0.020000000000000018,0.04921720000000004,0,0.0,0.056333333333333346,0.0055757575757575985,0.0,0.14261363636363678,0
44,1.1,0.030000000000000027,0.04921720000000004,0,0.0,0.08333333333333348,0.00903030303030306,0.28,0.2866454545454552,0
45,1.12,0.020000000000000018,0.04921720000000004,0,0.0,0.0993333333333335,0.01315151515151518,0.5096,0.36661200000000016,0
46,1.15,0.029999999999999805,0.04921720000000004,0,0.0,0.125,0.016363636363636393,0.697872,0.42728184,0
47,1.18,0.030000000000000027,0.04921720000000004,0,0.0,0.14933333333333332,0.02006060606060609,0.8522550400000001,0.4794961088,0
48,1.22,0.040000000000000036,0.05421720000000004,0,0.0,0.18199999999999994,0.02321212121212125,0.9788491328000001,0.5318468092159999,0
49,1.27,0.050000000000000044,0.05421720000000004,0,0.0,0.22266666666666657,0.027757575757575752,1.0,0.5669999999999998,0
50,1.31,0.040000000000000036,0.059217200000000046,0,0.0,0.2526666666666668,0.030787878787878795,1.0,0.58,0
51,1.36,0.050000000000000044,0.059217200000000046,0,0.0,0.29066666666666685,0.03424242424242424,1.0,0.58,0
52,1.42,0.05999999999999983,0.059217200000000046,1,0.0625,0.33733333333333304,0.03830303030303029,1.0,0.7749999999999999,1
53,1.48,0.06000000000000005,0.059217200000000046,1,0.125,0.3823333333333334,0.04248484848484853,1.0,0.79,1
54,1.55,0.07000000000000006,0.08052579999999959,0,0.125,0.43433333333333346,0.04751515151515154,1.0,0.61,0
55,1.63,0.07999999999999985,0.10183439999999962,0,0.125,0.494,0.05278787878787877,1.0,0.61,0
56,1.72,0.09000000000000008,0.10183440000000009,0,0.125,0.56,0.05878787878787889,1.0,0.61,0
57,1.82,0.10000000000000009,0.1068344000000001,0,0.125,0.633,0.06533333333333337,1.0,0.61,0
58,1.93,0.10999999999999988,0.1199887000000001,0,0.125,0.712,0.07278787878787871,1.0,0.61,0
59,2.05,0.11999999999999988,0.14129730000000013,0,0.125,0.7976666666666667,0.08151515151515146,1.0,0.61,0
60,2.18,0.13000000000000034,0.16260590000000014,0,0.125,0.8886666666666667,0.09054545454545454,1.0,0.61,0
61,2.32,0.13999999999999968,0.1839144999999997,0,0.125,0.9846666666666664,0.1,1.0,0.61,0
62,2.47,0.15000000000000036,0.1970687999999997,0,0.125,1.086,0.11000000000000001,1.0,0.61,0
63,2.63,0.1599999999999997,0.21022310000000038,0,0.125,1.1923333333333335,0.12000000000000002,1.0,0.61,0
64,2.8,0.16999999999999993,0.2365317000000001,0,0.125,1.3026666666666664,0.13000000000000006,1.0,0.61,0
65,2.98,0.18000000000000016,0.2709946,0,0.125,1.4173333333333336,0.13999999999999999,1.0,0.61,0
66,3.17,0.18999999999999995,0.30545750000000027,0,0.125,1.535,0.14999999999999994,1.0,0.61,0
67,3.37,0.20000000000000018,0.33176609999999984,0,0.125,1.6563333333333337,0.16,1.0,0.61,0
68,3.58,0.20999999999999996,0.3580746999999994,0,0.0625,1.7803333333333335,0.16999999999999996,1.0,0.595,0
69,3.8,0.21999999999999975,0.38438330000000037,0,0.0,1.9076666666666664,0.17999999999999997,1.0,0.58,0
